Headline,text
This isn’t the first time we’ve been treated as a threat.txt,"The coronavirus pandemic has unleashed a torrent of anti-Asian racism in America that shows no signs of abating. Asian-Americans have been spat on in the streets, harassed and insulted. Even children have been attacked as our fellow citizens blame us for a virus that threatens our families no less than any other household. 
"
"Thousands continue to take to the streets in Brooklyn, Manhattan and the Bronx.txt","For nearly two weeks thousands of protesters have marched in cities and towns across the United States to denounce police brutality and systemic racism. 
"
"America needs a national testing plan In the absence of that, here’s what local governments, institutions and individuals need to know.txt","Six months into the global coronavirus pandemic, Americans trying to navigate daily life remain trapped between a clear ideal — the country needs to test as many people as possible for the virus, as regularly as possible, for as long as possible — and the reality that there are nowhere near enough tests in the United States to do that. 
"
"‘I remember my father, before the war, hanging a matzo on the wall,’ my wife’s grandmother murmured, entranced Suddenly, there sat a young Polish child.txt","JERUSALEM — By the time I married into the family, Bubby Bella’s reticence was pronounced. A survivor of Nazi genocide, Bubby had resolutely overcome it, posturing under large-brimmed hats while ordering egg rolls and lo mein in Philadelphia’s northeast. 
"
Conservatism always contained the seeds of authoritarianism.txt,"Anne Applebaum’s new book, “Twilight of Democracy: The Seductive Lure of Authoritarianism,” begins cinematically, with a party she threw at a Polish manor house to mark the dawn of the new millennium. 
"
Opinion writers reflect on what readers had to say in 2020.txt,"This has been a tumultuous 12 months, a harrowing ride through the pandemic and elections, racial injustices and civic turmoil. Through it all, in your comments, you’ve shared your fears, frustrations and anger, but also hope, humor and much wisdom. In the process, you helped document this extraordinary year. 
"
Pitches for treatments with no scientific proof erode trust and threaten lives..txt,"Fear is overcoming reason as the threat of the coronavirus spreads. 
"
The president’s firing of the intelligence watchdog who validated the Ukraine whistle-blower complaint is his latest threat to the rule of law.txt,"When President Trump announced late on Friday that he would fire the government watchdog who told Congress about the Ukraine whistle-blower complaint, which ultimately led to his impeachment, it touched off one of the most acute threats yet to our democracy. But it didn’t even make the front page of most papers. 
"
"Mergers and buyouts work, but they can exacerbate economic inequality Here are some different strategies.txt"," 
"
Journalists should never again allow someone to create an alternative reality in order to seize the presidency.txt,"MIAMI — I had the honor once of being kicked out of a Donald Trump news conference. I asked him a question he didn’t want to answer and a security guard threw me out. It happened on Aug. 25, 2015, in Dubuque, Iowa, during Mr. Trump’s first presidential campaign. 
"
"With ridership and revenues plummeting, New York’s transportation system needs an urgent infusion of federal money..txt","While the country responds to the Covid-19 pandemic, mass-transit employees continue to show up day after day to ensure that emergency medical workers and other critical personnel can do their jobs for the people of New York. That’s why it’s so disheartening to watch as some in Washington use mass-transit funding as political currency. 
"
Fears of a potential party wipeout may be overstated. But it’s not hard to understand their theoretical basis..txt,"Swing-district House Democrats don’t agree on which candidate they want to lead them on the ticket this year, but they do seem to agree on which candidate they don’t: Bernie Sanders. 
"
"Frankly, Trump doesn’t give a damn..txt","WASHINGTON — It’s funny that Donald Trump doesn’t like a movie about con artists who invade an elegant house and wreak chaos. 
"
Fixing the global trading system means first coming to grips with why it is broken.txt,"If the World Trade Organization were a person, it would be that dude at the bar drinking the afternoon away in his business suit and wondering where it all went wrong. He used to be a big shot. 
"
"Judy Shelton, who has loudly echoed President Trump’s views on monetary policy, is a bad choice for a seat on the Fed’s board..txt","The Federal Reserve takes the Goldilocks view of economic growth: not too hot, not too cold. 
"
Members of the new administration may have to reassemble a broken government before they can begin to use it for good.txt,"Most of the election-disaster scenarios that journalists and campaign lawyers prepared for don’t seem to have come to pass. True, President Trump and many Republicans are giving the appearance of contesting the election, perhaps to placate Trump’s ego. But so far nothing has emerged that would lead to the Supreme Court getting involved, state legislatures haven’t tried to appoint their own electors and the popular vote and Electoral College tally aligned. 
"
Most women’s attackers remain free while the Mexican government does next to nothing to prevent and punish gender violence..txt,"MIAMI — María de Jesús Jaime Zamudio, also known as Marichuy, died a week after falling from the fifth floor of the building in Mexico City she lived in, in the night between Jan. 15 and 16, 2016. Her mother, Yesenia Zamudio, has never believed the fall was an accident or a suicide attempt, as the local authorities suggested at the time of the tragedy. For the past four years she has insisted that her daughter was murdered. 
"
He could have taken action. He didn’t..txt,"President Trump made his first public comments about the coronavirus on Jan. 22, in a television interview from Davos with CNBC’s Joe Kernen. The first American case had been announced the day before, and Kernen asked Trump, “Are there worries about a pandemic at this point?” 
"
"The people of Illinois, Arizona and California have a chance to make the distribution of state taxation a little more fair.txt","Most Americans accept the common-sense case for progressive taxation: Those who have more ought to contribute more to the society that is the foundation of their prosperity. 
"
Rich nations need to help poor ones now It’s morally right — and in everyone’s self-interest.txt,"The coronavirus has hit the poorest the hardest, but until recently, they have mostly been in wealthy countries. Now, even as the pandemic continues to claim lives in high-income countries — and especially the United States — it’s spreading with ferocity in lower- and middle-income countries. The virus has infected at least 1.5 million people in Brazil and claimed more than 60,000 lives there. India ended June with around 600,000 cases; it started the month with just under 200,000. 
"
"Or are they too busy organizing protests, posting links to bail funds and discussing antidotes for tear gas.txt","This article has been updated to reflect news developments.There she is in Little Rock, Ark., in 1957, a white woman in a neatly ironed dress and a short-sleeved, pearl-button cardigan. Her hand is on her hip as she stands in the universal posture of “I would like to speak to your manager” and stares down a soldier defending the Black students who’d integrated Little Rock Central High School. 
"
"My father, a Chinese pulmonologist, believes his brother could have been saved.txt","BEIJING — Eight is thought to be a lucky number in China because in Chinese it sounds like the word for “fortune”; 444 is a bad number because it rings like “death”; 520 sounds like “I love you.” 
"
My autistic son tried to hug an employee Did you really need a police officer on the scene.txt,"UNION, N.J. — Last week, the Target Corporation sent out an email about its commitment to “social justice.” “We stand with black families,” it said. A year and half ago, when a police officer intervened after an incident involving my disabled African-American son in a Target store, our family didn’t even get an apology. 
"
The coronavirus will ravage the country’s already devastated health system..txt,"ÁVILA, Spain — In this small city about an hour northwest of Madrid, the streets are deserted, the emergency rooms are on the brink of collapse, and anxiety and fear are everywhere. It all feels very familiar. 
"
His vague explanations for asking President Trump to dismiss the State Department’s inspector general don’t add up.txt,"Three years in, President Trump’s vow to “drain the swamp” stands as one of his more ludicrous campaign promises. That said, his spring cleaning of inspectors general has exposed a patch of grime that threatens to make life awkward for one of his staunchest allies, Secretary of State Mike Pompeo. 
"
The senator from Vermont explains why the left still has a fighting chance.txt,"I have said goodbye to Bernie Sanders before. There was the parting pageantry of the 2016 Democratic Convention where Mr. Sanders conceded the nomination to Hillary Clinton, closing out a primary season so tight it had given even the most pessimistic of leftists a thrill of hope. As he called for unity against Donald Trump in his farewell, the news network’s camera found a crying 22-year-old Bernie delegate in a Robin Hood hat, and the internet tore him apart. Laugh it up, I thought; there will be a next time. 
"
"For too long, mothers have been held responsible for every aspect of their children’s well-being..txt","I couldn’t sleep on the night of March 12. New York City public schools were still open, and many of my peers were choosing to pull their children out. I couldn’t decide whether to keep mine in class. My friends in Hong Kong had been home with their kids for months, but the schools never closed in Singapore. 
"
Never get in the way of an incumbent who is digging his own grave.txt,"Rarely has America been in greater need of competent, reassuring leadership. The pandemic has brought out the worst in President Trump, who continues to behave as if he’s presiding over a sick spinoff of “The Apprentice” during sweeps week. 
"
The liability-protection ruse is an excuse to coerce Americans back to work by refusing desperately needed help.txt,"House Democrats have passed a new “phase four” $3 trillion coronavirus relief bill. You could call it an opening bid toward a package to support a sensible, deliberate economic reopening. 
"
"Instead of propping up failed state bureaucracies, the federal government should support American workers.txt","Over 30 million Americans have filed for unemployment over the past six weeks. That is roughly 20 percent of the labor force. And that number is likely to grow larger as most states are ill equipped to handle the onslaught of the newly unemployed. 
"
We need to strike a new balance between our private pleasures and our collective survival..txt,"As the coronavirus continues to spread, the chances that any one of us will be placed in quarantine goes up considerably. I know that being locked away like that would drive me nuts. Two weeks subtracted from my life! Still, I’d accept the justice of my confinement because I would recognize that my liberty had come to pose a real danger to my fellow humans. 
"
Joe Biden’s speech did not soar That’s good America is looking for decency and competence.txt,"Accepting the Democratic presidential nomination, Joe Biden said: “Character is on the ballot. Compassion is on the ballot. Decency, science, democracy.” 
"
"Fortunately, there’s an easy fix.txt","When the federal aid package for small businesses known as the Paycheck Protection Program was announced last month, it seemed to offer a lifeline for modest enterprises in dire need of help because of the coronavirus crisis. Passed by a bipartisan majority in Congress, the program offered $349 billion in forgivable loans — essentially bridge loans — to provide the liquidity needed until the economy recovers. Unlike big-industry bailouts, which generate both moral hazard and public anger, the plan held out the attractive promise of providing relief for the smallest shops on Main Street. 
"
"Under Prime Minister Narendra Modi, India is the American president’s spiritual home: an inferno of systemic cruelty..txt","“I love Hindu,” Donald Trump proclaimed during his presidential campaign in 2016. That adoration of India’s majority population, and America’s richest and most obviously pro-Trump minority, may have just gotten deeper. 
"
"It may be time to pull together, but Republicans are still doing plenty to pull us apart..txt","Donald Trump and the Republican Party are trying to distract you from their catastrophic failure. 
"
We’re treating coronavirus patients. We don’t have time for politics..txt,"It’s only when both you and your patient are wearing a mask that you realize how much of medical care depends on facial expression and nonverbal communication. As I swabbed my first patients for the coronavirus here at Bellevue Hospital last week, it became apparent that assuaging their anxiety was just as critical as probing their nasopharynxes. 
"
"In a few weeks, it may be all the economy we’ve got..txt","The economy is currently on life support — yet as that metaphor suggests, it could actually be worse. Imagine if, next week, we find that coronavirus infection has spread so far through major supply lines as to sicken large numbers of the workers who deliver goods and also begins to threaten their recipients. Or imagine what the economy would look like if broadband internet service were to go down for significant parts of the population. 
"
A catastrophic sequence of decisions has blocked states from responding to the pandemic.txt,"Alongside growing controversy over judicial nominations, court reform and Covid-19 policies, American law is in the midst of a little-noticed paradigm shift in courts’ treatment of public health measures. 
"
"Clean air, wandering goats The pandemic is teaching us that all is not yet lost.txt","NASHVILLE — “Sam is being too day-dreamy in class,” began the note that came home in our oldest child’s grammar-school backpack. Sam understood the lessons, it turns out, but he wasn’t completing his worksheets on time because he kept staring out the classroom windows. 
"
But this revolutionary moment is inviting us to be a part of the solution.txt,"Democrats have largely led big and midsize cities for much of the past half-century. Yet the gaps in socioeconomic outcomes between white people and people of color are by several measures at their worst in the richest, bluest cities of the United States. 
"
"Their unlikely ally may have lost the White House, but Christian nationalists still plan to win the war.txt","Will President-elect Joe Biden’s victory force America’s Christian nationalists to rethink the unholy alliance that powered Donald Trump’s four-year tour as one of the nation’s most dangerous presidents? Don’t count on it. 
"
The myth of their resilience helped the Lebanese function despite a miserably corrupt and inept state No longer.txt,"BEIRUT — Anyone who knows Lebanon has heard this: The Lebanese are resilient. A reputation earned by weathering an outsize list of challenges over the years: a 15-year civil war, political tensions with Syria, wars with Israel and a collapsing public service infrastructure. 
"
She could be at the forefront of helping a part of America that’s been left behind.txt,"I was speaking recently to Matt Dunne, founder of the Center on Rural Innovation, which promotes digital economic development in small-town America, and he was telling me about a Vermont community near his home with a great public library: “You could drive by on any Sunday and the parking lot would be full,” he said. “There was just one problem: The library was closed on Sundays.” 
"
When everything is a liberal media conspiracy..txt,"We still don’t know how much damage Covid-19 — the coronavirus disease — will do, but it’s reasonable to be very concerned. After all, it appears to be highly transmissible, and it is probably a lot more lethal than ordinary flu. 
"
Take it from these influential users: Everyone should be worried about what a ban on the popular app signifies.txt,"This article and the video above have been updated to reflect news developments. 
"
These decisive measures can prevent a decade of dislocation and extraordinary levels of deaths..txt,"America is losing the war against Covid-19, but we can win it with decisive and extraordinary actions now. 
"
Congress shouldn’t concede more power to this president (or any other). That’s the last thing we need..txt,"Everything about the coronavirus crisis looks and feels like a war that is all the more unsettling because the enemy is invisible and immune to brute force. Yet amid all the signs of conflict — declarations of emergency, mobilizations of National Guard troops, the exercise of extraordinary powers — there is enduring constitutional danger in treating this crisis like a war. When this pandemic is over, generations will have to deal both with its terrible human toll and with the constitutional changes it yields. 
"
The education secretary is pushing schools to reopen without helping them to do so safely.txt,"As the coronavirus continues to wreak havoc across the United States, some public K-12 schools may be able to reopen safely, but doing so will not be cheap. A recent report from the Council of Chief State School Officers estimated that public K-12 schools will need as much as $245 billion in additional funding to open with the recommended protocols in place from the Centers for Disease Control and Prevention. Yet with local and state budgets strapped, many schools are likely to fall short unless they receive considerable federal support. 
"
And how should Joe Biden campaign amid the coronavirus.txt,"Listen and subscribe to our podcast from your mobile device: 
"
"Now it’s hospital staff in Arizona who are being challenged by the coronavirus, and that didn’t have to be.txt","TUCSON, Ariz. — As I write this, I have just finished my ninth consecutive overnight shift as an emergency medicine physician here. At the end of each shift I go to an Airbnb, where I have been living alone for two and a half months, away from my wife and 10-year-old daughter so that I am less likely to pass the coronavirus on to them. 
"
We need to start convincing skeptics now.txt,"If a vaccine for the coronavirus is developed tomorrow, will you take it? 
"
"On a day when ‘everyone is Irish,’ it’s good to remember when not everyone wanted to be. Even some Irish..txt","In 1789, a young man of 18 set off from his family’s five-acre farm in County Cavan, Ireland. His parents wanted him to go into the ministry, but to escape that fate he decided to go to America instead. He arrived in Albany, N.Y., penniless, as many immigrants to the United States still do, and took the first job available as a store clerk. Over the next 30 years, the Irishman bought his own store, purchased large sections of land in upstate New York, acquired the salt factories of Syracuse, helped build the Erie Canal and amassed a $3 million fortune second only to that of the Astor family. His name was William James and he later become known as William of Albany. 
"
But she also knew something about the unreliability of happy endings.txt,"“Now I happen to be the oldest,” Ruth Bader Ginsburg told me in 2015, when she was still 81 and I was asking her about retirement for a piece in this newspaper. “But John Paul Stevens didn’t step down until he was 90.” 
"
The polarization roiling the country has the Supreme Court in its grip.txt,"The Supreme Court made the indisputably right call last week when it refused to block California from limiting attendance at religious services in an effort to control the spread of Covid-19. 
"
Jordan lost his father in Iraq He knows his father was a warrior and a patriot But the words hurt nevertheless.txt,"I struggled for the words to comfort Jordan, my 14-year-old son. 
"
The global pandemic is his latest rationale for enacting longstanding conservative goals.txt,"When things aren’t going smoothly for President Trump, his go-to move is to change the subject to topics that cheer his supporters and drive his critics into paroxysms of outrage. Mr. Trump’s decision on Wednesday to, as he proclaimed on Twitter, sign an “Executive Order prohibiting immigration into our Country today” seems designed as just such a distraction. 
"
More Americans have died from Covid-19 than perished in four years of combat in World War II.txt,"This should be a season of hope: We will shortly be getting a highly effective coronavirus vaccine, and the pandemic should wind down in the coming months. 
"
"If you’re feeling awful, you know who to blame..txt","So, our Coronavirus Czar is going to be … Mike Pence. Feeling more secure? 
"
"Skill, it turns out, is what you make of luck.txt","In 2015, my life was thrown off-kilter. The year opened with my getting sick: an autoimmune condition that nobody could properly diagnose, which pushed my hormones into overdrive and rendered me unable to leave the apartment for weeklong stretches. My skin reacted to seemingly everything with a loud eruption of hives that covered my face, neck and body in a painful mosaic that made the thought of wearing clothes unbearable. As I pondered my new immobility, my husband lost his job and with it, our health insurance. And just as I thought we’d figured out a way to get it all under control, my independent, healthy grandmother slipped in the middle of the night, hit her head and never woke up. 
"
"Content moderators are essential gatekeepers, but also our greeters, paramedics, law enforcers, teachers and curators..txt","Most of the internet is made of comments. Some are like the old-fashioned ones you can see accompanying this article online, but others take the form of memes, gamer live-streams, or even breaking news from people on the ground at a disaster scene. 
"
Covid-19 and the dark side of American exceptionalism..txt,"Death comes at you fast. Just three weeks ago the official line at the White House and Fox News was that the coronavirus was no big deal, that claims to the contrary were a politically motivated hoax perpetrated by people out to get Donald Trump. Now we have a full-blown health crisis in New York, and all indications are that many other cities will soon find themselves in the same situation. 
"
"The state may be phasing out gas-powered cars, but it’s still legal to put an oil well right next to an elementary school.txt","California famously prides itself on environmental leadership — but what about when its lawmakers overlook problems in their own constituents’ backyards? It’s still legal to drill for oil there right next to schools and hospitals — despite well documented health risks to anyone nearby. In the video op-ed above, Josiah Edwards explains what it was like to grow up breathing in the toxic chemicals expelled by drilling. He traces the asthma that plagues his entire family to decades of redlining in Los Angeles County, which consigned Black and brown communities like theirs to live next to active oil wells. Even today, politicians keep rejecting legislation that would help protect Californians from these poisonous emissions. You may not have an oil drill in your backyard now, but if you live in California, there’s nothing stopping one from moving in tomorrow. 
"
Funeral directors are risking their lives to care for Covid-19 victims.txt,"It’s 8:30 p.m. and Sherry Bensimon, a funeral director at Riverside Memorial Chapels of New Jersey, in Hackensack, is still at work. A colleague who just returned from Hackensack University Medical Center tells her that the hospital’s refrigerated trailers, one of which arrived that day, were already at capacity. Each holds about 50 bodies — and that’s in addition to the hospital’s two morgues. “They’re full already?” Ms. Bensimon’s voice cracks. “Oh God.” 
"
He has shown that we need new laws to constrain a president who seeks unchecked power.txt,"Desperate to salvage his presidency, Donald Trump is inciting racial violence by encouraging armed vigilantes to confront protesters angry over the killing and maiming of unarmed Black people by the police. The president is stoking civil conflict to distract voters from his failed leadership and strengthen his electoral prospects. 
"
The “natural” body movement is unfairly exclusive..txt,"Young black people have, in theory, embraced the concept of “body positivity,” which encourages self-love and acceptance of “natural” features. I wish this movement was a capacious one that not only critiqued unrealistic beauty standards but also embraced all kinds of bodies. Instead, it has been co-opted by women who uphold the status quo by celebrating only conventionally attractive bodies and policing how women can achieve them. 
"
Why would China go to the trouble of capsizing the global order when it can simply take it over.txt,"China is in the midst of a fierce battle to salvage its reputation. 
"
Congress needs to invest with an eye on the nation’s future.txt,"Hopefully, when Congress gets done allocating several trillion dollars simply to keep the economy afloat, we will be able to have another discussion: What should we invest in so we don’t just burden young Americans with a mountain of new debt, but also arm them with the tools to grow out of it and still prosper in the 21st century? 
"
This country is going to need its Eeyores.txt,"Confession: I have a secret talent for making lemons out of lemonade. It may not be readily apparent. I smile a lot and make cheerful conversation; my end of the dinner table is not some horrible event horizon beyond which all sunlight disappears. But tucked inside me, almost always, is a grumbling Eeyore. 
"
"Nearly a century after the Tulsa Race Massacre, the search for the dead continues.txt","The lynch mobs that hanged, shot or burned African-Americans alive during the early 20th century sometimes varied the means of slaughter by roping victims to cars and dragging them to death. The killers who re-enacted this barbaric ritual in Tulsa, Okla., on June 1, 1921, committed one of the defining atrocities of the Tulsa Race Massacre, the bloody conflagration during which white vigilantes murdered at will while looting and burning one of the most affluent black communities in the United States. 
"
"We must give children the opportunity to interact with the wilderness, so that they learn to preserve the natural world..txt","I was 9 years old, hanging on as tightly as I could to my father’s legs as he dangled over the edge of a gigantic sea cliff on a tiny little island off the west coast of Scotland. He was trying to see whether the bird’s nest some 15 feet below was being inhabited by a white-tailed sea eagle or a buzzard. 
"
Why does the president want to open everything up It’s not because it’s safe to do so.txt,"Back in March, when Congress was debating pandemic relief, Senator Rick Scott of Florida spoke out against a Democratic plan to greatly expand federal unemployment insurance. “The moment we can go back to work, we cannot create an incentive for people to say ‘I don’t need to come back to work because I can do better some place else,’ ” Scott said at a news conference in support of an amendment that would strike the program from the bill. “These employers are going to need these workers to rebuild this economy, so we cannot pay people more money on unemployment than what they would get in their jobs.” 
"
A pandemic offers a great way to examine American class inequities..txt,"It’s been a big week for what I refer to as “Hermit Tech.” Stock in technology companies that facilitate working from home have soared in a spiraling market otherwise anxious by an impending coronavirus pandemic. Netflix is preparing for the server strain of the bored but quarantined masses. Expensive Peloton stationary bikes and streaming workout services are seeing substantial spikes in interest. Tech guides are popping up suggesting everything from noise-canceling headphones, Wi-Fi signal boosters, and productivity hacks for families who’ll need to make close quarters work and life livable. 
"
Is the free exchange of ideas under threat.txt,"This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays. 
"
"Mass anxiety, political instability, and isolation are a pretty good combination for warping peoples’ world views.txt","The outside world is closing its doors, and the internet, as a result, is feeling the pressure. The mobile network Vodafone reported a 50 percent surge in internet use last month, and all over the world internet companies are being forced to deal with the extra demand generated by self-isolation. Much of the world is, for an undetermined period, going permanently online. Beyond the much more immediate and pressing threat of the virus, there is something disconcerting about this for anyone who studies radicalization and the internet. 
"
The US also uses cybertools to defend its interests It’s the age of perpetual cyberconflict.txt,"There is indignant howling over what is surely Russia’s role in infiltrating, again, the networks of the U.S. government and corporations — this time through a tainted software update by the company SolarWinds. Politicians of both parties have called it a virtual act of war. “America must retaliate, and not just with sanctions,” Senator Marco Rubio said. 
"
"The evolving story of this drug represents one failure after another among government officials, physicians and the media.txt","President Trump revealed on Monday that despite warnings from the Food and Drug Administration, he said he has been taking hydroxychloroquine for about a week and a half as a preventive measure. 
"
He should start leading with the decency and resolve that we deserve I’m not holding my breath.txt,"Donald Trump declared himself a “wartime president” just three weeks ago. On Twitter, he proclaimed “WE WILL WIN THIS WAR.” At last, he seemed to grasp the gravity of the Covid-19 crisis facing the world. Bluster aside, Mr. Trump is correct: This is war, the most consequential since World War II, and he is in charge. 
"
Many of us are experiencing loss right now We need the time and space to process it.txt,"MINNEAPOLIS — My friend Moe was back at work a week after her husband, Andrew, hanged himself by the Mississippi River, just a few miles from their home in northeast Minneapolis. 
"
"With a spike in coronavirus cases, many of us are left wondering why.txt","DETROIT — Dwight Jones, my high school basketball coach, died on Monday from the coronavirus. He had devoted 50 years of his life to helping young men and women, using his quick wit to get his point across. 
"
The convergence between Vladimir Putin’s political culture and our own..txt,"MOSCOW — The American political world has — once again — become consumed with the influence of Russia, trying to make sense of whom the Kremlin might favor in the presidential election: Donald Trump, Bernie Sanders, or both. But for me, an American journalist based in Moscow since 2012, that is a far less interesting topic than the story of the convergence between Russia’s political culture and our own. 
"
"When it comes to crucial medical supplies, cooperation, not competition, will save lives History shows that it works.txt","One symptom of the coronavirus pandemic has been an explosion of economic nationalism around the world. Many countries, including the United States and members of the European Union, have erected export controls to prevent scarce goods like protective masks, gowns, gloves, ventilators and testing kits from being sold abroad. And global competition to purchase these goods is playing out like the plot of a bad action movie with accusations that planes full of Europe-bound masks have been diverted at the last minute to the United States. A German official has accused the United States of “modern piracy.” 
"
Nature seems to be ganging up on the Golden State.txt,"BERKELEY, Calif. — Every other week for the past 18 years, my wife and I have made a five-hour round-trip drive between here and Mendocino County. She has a health care practice in both places, so our rural home isn’t a retreat; nonetheless, like others who had the option, when the pandemic kicked in we opted for the country, where social distance is axiomatic and anxiety less likely. 
"
"“The people Trump despises most love him the most,” Howard Stern has said But that may be beginning to change.txt","WASHINGTON — Sitting in the back of his limousine after an appearance on “The Tonight Show,” Donald Trump was explaining to me why he never had much use for Jimmy Carter. 
"
I was terrified of being labeled “that woman who was sexually harassed.” But I had to speak out..txt,"On Feb. 18, 2017 — three years ago almost to the day — I sat at my kitchen table, my laptop open, my mind racing. In the two months since I’d quit my job as an entry-level software engineer at Uber, I’d tried to forget what I’d experienced and witnessed there, but it was impossible. 
"
It’s time to consider a new kind of declaration A declaration of responsibility.txt,"Wednesday is Earth Day, a useful idea that could only occur to a civilization estranged from Earth. 
"
Giorgio Agamben criticizes the “techno-medical despotism” of quarantines and closings.txt,"Stumping for regional candidates in Tuscany this month, Italy’s former interior minister Matteo Salvini waved around a surgical mask — and pointedly did not wear it. Covid-19 has taken more than 35,000 lives since it struck Italy in January. But now the daily death toll is typically in single digits, and Mr. Salvini, the leader of the anti-immigration League party, wants to put the country back to work. “Italians are being held hostage, kept at a distance, masked,” he hollered, “and meanwhile they let thousands of lowlifes land their boats and do what they want, go where they want, spit, infect. Enough is enough!” 
"
"Interestingly, the suburban vote may not be one of them.txt","There are at least five reasons Joe Biden’s consistent lead over Donald Trump does not guarantee him a lock on the White House. 
"
Brené Brown tries her best.txt,"Brené Brown’s best-selling books and TED talks about embracing vulnerability and shame have made her a cultural phenomenon. Silicon Valley executives often invite her to speak to their companies, though she is skeptical about their intentions to follow through on her advice. “For some people, I am the kombucha shake of the month,” she says. 
"
Ideology is getting in the way of science..txt,"A virus can kill, of course, but so can blowhards. 
"
Evidence from around the world shows that stay-at-home orders take us only so far.txt,"The response of the United States to the coronavirus pandemic has been haphazard, a patchwork of rules applied inconsistently. Some states lack stay-at-home mandates, and many that have mandates got started less than a week ago. We’re suffering under a jumble of half measures that are likely to drag on for months and that fail to solve the problem. 
"
Is this the end of Trump What about schools.txt,"Listen and subscribe to our podcast from your mobile device: 
"
"Being a family separated by borders is never easy, but this year is different.txt","MIAMI — Every year in early October, I travel to Mexico City to celebrate my mother’s birthday with her. She’s turning 87 this year, so both of us realize we don’t have time to waste. 
"
We need to match our focus on the supply of misinformation with a focus on the demand for it.txt,"Last week, veto-proof majorities of the House and Senate rejected President Trump’s demand that they use a defense-spending bill to repeal liability protections for social media companies. The demand arose from Mr. Trump’s frustration with platforms like Twitter for taking more assertive measures against misinformation and disinformation, including his own. 
"
"A little bit of good news, in a dire month for LGBTQ people.txt","“I used to think people like you should be, you know, exterminated,” the nice young man said to me. “But after listening to you speak, I’ve really changed my mind!” 
"
"When “civilization” oppresses, wilderness is the best therapy.txt","PACIFIC NORTHWEST TRAIL, Mont. — What’s a person to do in a crazy summer when our president endorses a candidate who claims the world is controlled by a “global cabal of Satan-worshiping pedophiles,” when federal agents club a Navy veteran protesting peacefully, when the government delays postal services to impede voting (and thereby kills chicks sent in the mail)? 
"
His willingness to do so was essential to the quest for civil rights.txt,"Representative John Lewis, who died Friday at age 80, will be remembered as a principal hero of the blood-drenched era not so long ago when Black people in the South were being shot, blown up or driven from their homes for seeking basic human rights. The moral authority Mr. Lewis exercised in the House of Representatives — while representing Georgia’s Fifth Congressional District for more than 30 years — found its headwaters in the aggressive yet self-sacrificial style of protests that he and his compatriots in the Student Nonviolent Coordinating Committee deployed in the early 1960s as part of the campaign that overthrew Southern apartheid. 
"
"He’s alive, but he still needs some work..txt","Joe Biden’s presidential candidacy is back from the dead, in the sort of electoral turnaround that makes pundits’ heads explode. With the party’s moderate wing now coalescing behind him, Mr. Biden has suddenly gone from being gently ignored — like the dotty uncle who’s forever talking nonsense at family get-togethers — to being touted as the man to beat. 
"
He does not have “total” authority over states.txt,"I teach my law students that every so often in the law, the best way to understand the veracity of a claim is just to say it out loud. They got a great example of this on Monday when President Trump made a contribution to the legal lexicon: “When somebody is the president of the United States, the authority is total. And that’s the way it’s got to be. It’s total.” 
"
"Once they were all over pop culture. When they retreated, an expanded view of what girlhood could look like was obscured, too..txt","Everybody loved Jo. With her mane of brown hair and disdain for convention, the tomboy who spoke her mind and had no need for high society, she was adored by little girls across America. 
"
Evangelicals may support an amoral president. But faith can still offer hope for liberation and progress..txt,"The Christian season of Lent, a time of repentance and reflection, is upon us. The weeks that begin with Ash Wednesday culminate in Holy Week, a commemoration of the Passover feast in roughly the year A.D. 33, during which Jesus triumphantly entered Jerusalem, was condemned and crucified by the Roman authorities, and — in the Christian understanding of the world — rose from the dead. 
"
"The coronavirus, like other plagues before it, could shift the balance between rich and poor.txt","In the fall of 1347, rat fleas carrying bubonic plague entered Italy on a few ships from the Black Sea. Over the next four years, a pandemic tore through Europe and the Middle East. Panic spread, as the lymph nodes in victims’ armpits and groins swelled into buboes, black blisters covered their bodies, fevers soared and organs failed. Perhaps a third of Europe’s people perished. 
"
There continue to be ways to look with fresh eyes at our founding-est founding father..txt,"Years into writing a book on George Washington, I noticed something curious about my collection of the popular biographies already written about our first president: All of them were written by white men. 
"
Governments have spent trillions in tough times without creating structures that turn short-term fixes into a more inclusive economy.txt,"When the economy is in crisis, who do we turn to for help? Not corporations — it’s governments. But when the economy is flourishing, we ignore governments and let corporations soak up the rewards. 
"
I was a Watergate prosecutor I know why he didn’t.txt,"In 1973, I served as an assistant special prosecutor for the Watergate Special Prosecution Force, which investigated the connection between the White House and the break-in at the Democratic National Committee headquarters, the subsequent cover-up and other crimes connected with the White House under Richard Nixon. 
"
How antitrust lawyer Lina Khan is taking on the most powerful men in Silicon Valley.txt,"It finally looks as if Big Tech may face some breakups. Lawmakers are interrogating tech C.E.O.s on Capitol Hill while the Justice Department pursues a landmark antitrust case against Google. For decades, tech giants have avoided such scrutiny — hiding behind the idea that their products are free, beneficial, even beloved. 
"
"There’s good reason to remain skeptical about the Chinese-owned company, but for now it’s one of the best social media platforms.txt","I confess: I have a TikTok-designated burner phone. 
"
"Once elected, criminal justice reformers face nasty attacks.txt","Over the past several years as police violence has become more visible, one of the key goals of people fighting for change has been to shift how the public views prosecutors and how prosecutors do their jobs. 
"
